"code_product","year_month_full","margin"
"PP2217B",2018-11-01,10.23625
"PP2218B",2018-11-01,7.8025
"PP2224B",2018-11-01,9.92625
"PP2272B",2018-11-01,13.16375
"AC1160T",2018-12-01,37.70125
"AC1161T",2018-12-01,34.7175
"AC1201B",2018-12-01,20.8075
"AC1202B",2018-12-01,5.64875
"AC1203B",2018-12-01,-11.69
"AC1204B",2018-12-01,-0.5075
"AC3104B",2018-12-01,90.7375
"AC3191B",2018-12-01,-74.8
"AC3192B",2018-12-01,87.53875
"AC3193B",2018-12-01,179.39375
"BT4001G",2018-12-01,18.58
"CA1148V",2018-12-01,168.075
"CA1159A",2018-12-01,-3.55000000000001
"CA1160A",2018-12-01,1449.725
"CA1161V",2018-12-01,954.29375
"CA1162V",2018-12-01,141.63375
"CA1163B",2018-12-01,74.7475
"CA1165A",2018-12-01,750.2375
"CA1166V",2018-12-01,143.81125
"CA1167V",2018-12-01,95.0775
"CA1201A",2018-12-01,578.769
"CA1202A",2018-12-01,1475.282
"CA1301A",2018-12-01,1354.05825
"CA1302A",2018-12-01,3342.77525
"CA1303A",2018-12-01,6865.39725
"PP2217B",2018-12-01,4.78875
"PP2218B",2018-12-01,6.26375
"PP2224B",2018-12-01,5.7825
"PP2272B",2018-12-01,6.13625
"AC1160T",2019-01-01,264.915
"AC1161T",2019-01-01,466.26375
"AC1201B",2019-01-01,129.34375
"AC1202B",2019-01-01,495.4025
"AC1203B",2019-01-01,623.84125
"AC1204B",2019-01-01,977.37875
"AC3104B",2019-01-01,270.025
"AC3191B",2019-01-01,146.925
"AC3192B",2019-01-01,522.99125
"AC3193B",2019-01-01,818.12
"BT4001G",2019-01-01,181.93375
"CA1148V",2019-01-01,1237.80625
"CA1159A",2019-01-01,465.0875
"CA1160A",2019-01-01,3639.88125
"CA1161V",2019-01-01,183.985
"CA1162V",2019-01-01,204.75375
"CA1163B",2019-01-01,327.12125
"CA1165A",2019-01-01,1888.1125
"CA1166V",2019-01-01,388.4025
"CA1167V",2019-01-01,674.2625
"CA1201A",2019-01-01,1843.488
"CA1202A",2019-01-01,3327.91325
"CA1301A",2019-01-01,9630.761
"CA1302A",2019-01-01,10407.1825
"CA1303A",2019-01-01,5257.68525
"PP2217B",2019-01-01,65.69875
"PP2218B",2019-01-01,52.02125
"PP2224B",2019-01-01,36.335
"PP2272B",2019-01-01,541.36875
"AC1160T",2019-02-01,375.3775
"AC1161T",2019-02-01,68.00375
"AC1201B",2019-02-01,258.73
"AC1202B",2019-02-01,245.635
"AC1203B",2019-02-01,87.04625
"AC1204B",2019-02-01,36.87
"AC3104B",2019-02-01,336.78125
"AC3191B",2019-02-01,87.5
"AC3192B",2019-02-01,789.48375
"AC3193B",2019-02-01,1366.39875
"BT4001G",2019-02-01,70.935
"CA1148V",2019-02-01,1163.16875
"CA1159A",2019-02-01,1610.75
"CA1160A",2019-02-01,4259.125
"CA1161V",2019-02-01,176.81125
"CA1162V",2019-02-01,322.9225
"CA1163B",2019-02-01,235.5325
"CA1165A",2019-02-01,2590.40625
"CA1166V",2019-02-01,329.86125
"CA1167V",2019-02-01,646.785
"CA1201A",2019-02-01,3549.64725
"CA1202A",2019-02-01,4490.874
"CA1301A",2019-02-01,10794.863
"CA1302A",2019-02-01,17464.109
"CA1303A",2019-02-01,8034.89825
"PP2217B",2019-02-01,175.4925
"PP2218B",2019-02-01,75.54125
"PP2224B",2019-02-01,535.325
"PP2272B",2019-02-01,130.4175
"AC1160T",2019-03-01,205.095
"AC1161T",2019-03-01,275.355
"AC1201B",2019-03-01,657.165
"AC1202B",2019-03-01,1349.2725
"AC1203B",2019-03-01,430.4725
"AC1204B",2019-03-01,1631.7775
"AC3104B",2019-03-01,924.4625
"AC3191B",2019-03-01,80.26875
"AC3192B",2019-03-01,1212.65875
"AC3193B",2019-03-01,2442.44625
"BT4001G",2019-03-01,681.73875
"CA1148V",2019-03-01,2501.85625
"CA1159A",2019-03-01,2092.93125
"CA1160A",2019-03-01,7045.25625
"CA1161V",2019-03-01,477.0925
"CA1162V",2019-03-01,486.3025
"CA1163B",2019-03-01,428.78125
"CA1165A",2019-03-01,5395.58125
"CA1166V",2019-03-01,754.97
"CA1167V",2019-03-01,1221.01
"CA1201A",2019-03-01,5856.92525
"CA1202A",2019-03-01,9408.80925
"CA1301A",2019-03-01,20465.52025
"CA1302A",2019-03-01,25630.77675
"CA1303A",2019-03-01,15432.648
"PP2217B",2019-03-01,867.86
"PP2218B",2019-03-01,159.16875
"PP2224B",2019-03-01,104.74125
"PP2272B",2019-03-01,173.15
"AC1160T",2019-04-01,303.8525
"AC1161T",2019-04-01,180.95625
"AC1201B",2019-04-01,541.32375
"AC1202B",2019-04-01,177.1475
"AC1203B",2019-04-01,152.31625
"AC1204B",2019-04-01,80.6925
"AC3104B",2019-04-01,1045.925
"AC3191B",2019-04-01,63.1625
"AC3192B",2019-04-01,1735.28375
"AC3193B",2019-04-01,3054.0925
"BT4001G",2019-04-01,99.155
"CA1148V",2019-04-01,2733.94375
"CA1159A",2019-04-01,2412.13125
"CA1160A",2019-04-01,10194.9125
"CA1161V",2019-04-01,613.11625
"CA1162V",2019-04-01,599.91
"CA1163B",2019-04-01,645.60125
"CA1165A",2019-04-01,7191.13125
"CA1166V",2019-04-01,955.88
"CA1167V",2019-04-01,2146.63875
"CA1201A",2019-04-01,7863.09075
"CA1202A",2019-04-01,14163.905
"CA1301A",2019-04-01,22714.712
"CA1302A",2019-04-01,38985.732
"CA1303A",2019-04-01,24072.76725
"PP2217B",2019-04-01,199.37125
"PP2218B",2019-04-01,116.77125
"PP2224B",2019-04-01,128.5925
"PP2272B",2019-04-01,229.69
"AC1160T",2019-05-01,242.35
"AC1161T",2019-05-01,298.3875
"AC1201B",2019-05-01,757.39125
"AC1202B",2019-05-01,237.47375
"AC1203B",2019-05-01,150.33875
"AC1204B",2019-05-01,121.97125
"AC3104B",2019-05-01,1015.04375
"AC3191B",2019-05-01,76.5625
"AC3192B",2019-05-01,2261.75
"AC3193B",2019-05-01,3952.78
"BT4001G",2019-05-01,487.50625
"CA1148V",2019-05-01,2381.8
"CA1159A",2019-05-01,2822.5875
"CA1160A",2019-05-01,11687.48125
"CA1161V",2019-05-01,805.25
"CA1162V",2019-05-01,634.10125
"CA1163B",2019-05-01,1008.30625
"CA1165A",2019-05-01,8627.79375
"CA1166V",2019-05-01,696.47375
"CA1167V",2019-05-01,2316.75375
"CA1201A",2019-05-01,7638.97775
"CA1202A",2019-05-01,18644.857
"CA1301A",2019-05-01,30459.1105
"CA1302A",2019-05-01,43998.779
"CA1303A",2019-05-01,27688.82125
"PP2217B",2019-05-01,331.0925
"PP2218B",2019-05-01,224.29125
"PP2224B",2019-05-01,190.98625
"PP2272B",2019-05-01,365.1675
"AC1160T",2019-06-01,416.685
"AC1161T",2019-06-01,855.53625
"AC1201B",2019-06-01,1042.72
"AC1202B",2019-06-01,324.13125
"AC1203B",2019-06-01,279.0575
"AC1204B",2019-06-01,137.12875
"AC3104B",2019-06-01,1494.025
"AC3191B",2019-06-01,133.54375
"AC3192B",2019-06-01,2869.43
"AC3193B",2019-06-01,5727.53875
"BT4001G",2019-06-01,1195.45625
"CA1148V",2019-06-01,4572.94375
"CA1159A",2019-06-01,3699.525
"CA1160A",2019-06-01,17786.225
"CA1161V",2019-06-01,1629.17125
"CA1162V",2019-06-01,869.46
"CA1163B",2019-06-01,1470.96875
"CA1165A",2019-06-01,12134.825
"CA1166V",2019-06-01,1402.08
"CA1167V",2019-06-01,4364.485
"CA1201A",2019-06-01,14234.79475
"CA1202A",2019-06-01,25452.122
"CA1301A",2019-06-01,46988.9005
"CA1302A",2019-06-01,64842.91275
"CA1303A",2019-06-01,42611.92475
"PP2217B",2019-06-01,434.0125
"PP2218B",2019-06-01,302.8325
"PP2224B",2019-06-01,248.23
"PP2272B",2019-06-01,414.83375
"AC1160T",2019-07-01,649.06875
"AC1161T",2019-07-01,1462.67875
"AC1201B",2019-07-01,1239.17875
"AC1202B",2019-07-01,337.3
"AC1203B",2019-07-01,287.38125
"AC1204B",2019-07-01,173.02375
"AC3104B",2019-07-01,1806.8625
"AC3191B",2019-07-01,157.9625
"AC3192B",2019-07-01,3889.87625
"AC3193B",2019-07-01,8092.20625
"BT4001G",2019-07-01,1146.475
"CA1148V",2019-07-01,13879.6
"CA1159A",2019-07-01,3742.875
