Groupe,Libelle,Quantite,Mois,Annee,Marge_unitaire,Benefice,Proportion_benefice,Ratio,Ratio_pondere_benefice,Potentiel_croissance
CLT 7-12,CF-306 Confort féminin,30,8,2020,3.05,91.5,0.001954674,,,
CLT 7-12,CT-103 Chitosan,660,8,2020,3.71,2448.6,0.052308363,,,
CLT 7-12,DG-204 Digest,90,8,2020,3.37,303.3,0.006479264,,,
CLT 7-12,DR-104 Dépuratif & Draineur ampoule,820,8,2020,7.071,5798.22,0.12386482,,,
CLT 7-12,DR-105 Dépuratif & draineur flacon,308,8,2020,6.484,1997.072,0.04266257,,,
CLT 7-12,MC-218 Minceur 3 en 1,640,8,2020,8.763,5608.32,0.11980807,,,
CLT 7-12,MP-115 Minceur plus,390,8,2020,3.99,1556.1,0.033242279,,,
CLT 7-12,MV-215 Multivitamines,30,8,2020,3.45,103.5,0.002211025,,,
CLT 7-12,NP-114 Nopal,2880,8,2020,3.71,10684.8,0.228254677,,,
CLT 7-12,PH-216 pH Balance,90,8,2020,6.86,617.4,0.013189244,,,
CLT 7-12,SE-319 Sérénité,30,8,2020,2.98,89.4,0.001909813,,,
CLT 7-12,SPRAY ANTI-FRINGALE,70,8,2020,6.326,442.82,0.009459769,,,
CLT 7-12,Gel minceur 150ml,10,8,2020,5.41,54.1,0.001155714,,,
CLT 7-12,Barre minceur Hyperprotéinée,40,8,2020,2.55,102,0.002178981,,,
CLT 7-12,BISCUITS SAVEUR BEURRE,360,8,2020,1.36,489.6,0.010459109,,,
CLT 7-12,BISCUITS SAVEUR CHOCOLAT,150,8,2020,1.36,204,0.004357962,,,
CLT 7-12,Boules de soja BBQ,80,8,2020,0.47,37.6,0.000803232,,,
CLT 7-12,Boules de soja chocolat,120,8,2020,0.47,56.4,0.001204848,,,
CLT 7-12,Boules de soja Oignons,80,8,2020,0.47,37.6,0.000803232,,,
CLT 7-12,CEREALES CHOCOLAT,378,8,2020,1.07,404.46,0.008640301,,,
CLT 7-12,CEREALES FRUITS ROUGES,78,8,2020,1.05,81.9,0.001749594,,,
CLT 7-12,CEREALES NATURE,42,8,2020,1.29,54.18,0.001157423,,,
CLT 7-12,Chili con carne,40,8,2020,0.89,35.6,0.000760507,,,
CLT 7-12,Colin sauce oseille et riz,20,8,2020,0.6,12,0.000256351,,,
CLT 7-12,Lasagnes,72,8,2020,0.84,60.48,0.001292008,,,
CLT 7-12,Noix de soja BBQ,80,8,2020,0.32,25.6,0.000546882,,,
CLT 7-12,Pâtes bolognaises,96,8,2020,0.79,75.84,0.001620137,,,
CLT 7-12,Poulet curry et son riz,50,8,2020,0.84,42,0.000897228,,,
CLT 7-12,Thé Silhouette+,80,8,2020,1.72,137.6,0.002939488,,,
CLT 7-12,Tisane CIRCULATION,120,8,2020,1.46,175.2,0.00374272,,,
CLT 7-12,Tisane DIGEST',30,8,2020,1.46,43.8,0.00093568,,,
CLT 7-12,BG-102 Brûleur ampoules,1500,9,2020,7.789,11683.5,0.209119624,,,
CLT 7-12,BG-103 Brûleur flacon,868,9,2020,7.351,6380.668,0.114205751,,,
CLT 7-12,BT-202 Booster,180,9,2020,4.4,792,0.014175781,,,
CLT 7-12,CF-306 Confort féminin,0,9,2020,3.05,0,0,,,
CLT 7-12,CT-103 Chitosan,720,9,2020,3.71,2671.2,0.047811045,,,
