"code_product","year_month_full","amount"
"AC1204B",2021-09-01,895.82
"AC3104B",2021-09-01,11207.49
"AC3105B",2021-09-01,2780.08
"AC3106B",2021-09-01,955.75
"AC3107B",2021-09-01,565.62
"AC3191B",2021-09-01,243.92
"AC3192B",2021-09-01,15548.83
"AC3193B",2021-09-01,31471.93
"ACCS009",2021-09-01,0
"AR00067",2021-09-01,450.25
"AR00068",2021-09-01,54.11
"AR00069",2021-09-01,52.6
"ART0082",2021-09-01,43.68
"BOXDT",2021-09-01,746.99
"BOXESN",2021-09-01,11.16
"BOXESR",2021-09-01,3.33
"BOXH",2021-09-01,572.97
"BOXHAR",2021-09-01,11.36
"BOXSER",2021-09-01,214.32
"BOXSIL",2021-09-01,177.5
"BOXV",2021-09-01,756.75
"BOXVIT",2021-09-01,163.26
"BOXVP",2021-09-01,1689.1
"BT4001G",2021-09-01,1506.51
"CA1147",2021-09-01,3505.18
"CA1148V",2021-09-01,24675.31
"CA1159A",2021-09-01,331797.94
"CA1160A",2021-09-01,75713.8
"CA1161V",2021-09-01,8346.81
"CA1162V",2021-09-01,4088.53
"CA1163B",2021-09-01,5702.79
"CA1165A",2021-09-01,52152.49
"CA1166V",2021-09-01,11244.87
"CA1167V",2021-09-01,16822.06
"CA1201A",2021-09-01,50948.32
"CA1202A",2021-09-01,152132.81
"CA1301A",2021-09-01,257217.32
"CA1302A",2021-09-01,338386.17
"CA1303A",2021-09-01,168724.98
"CERCHOC",2021-09-01,21761.82
"CERFRUI",2021-09-01,6411.34
"CERNATU",2021-09-01,4067.76
"GLPSO",2021-09-01,73.12
"GOOM002",2021-09-01,5.9
"GOOM003",2021-09-01,6
"GOOM005",2021-09-01,63
"GOOS001",2021-09-01,0
"LIVREC",2021-09-01,2.08
"NEW1",2021-09-01,43.86
"PP2216",2021-09-01,595.25
"PP2217B",2021-09-01,3615.08
"PP2218B",2021-09-01,2169.66
"PP2224B",2021-09-01,1835.1
"PP2272B",2021-09-01,3756.82
"AC1160T",2021-10-01,2940.78
"AC1161T",2021-10-01,1959.96
"AC1163T",2021-10-01,5731.47
"AC1201B",2021-10-01,3916.81
"AC1202B",2021-10-01,1918.11
"AC1203B",2021-10-01,1654.92
"AC1204B",2021-10-01,823.31
"AC3104B",2021-10-01,10996.36
"AC3105B",2021-10-01,2641.48
"AC3106B",2021-10-01,866.22
"AC3107B",2021-10-01,755.92
"AC3191B",2021-10-01,161.07
"AC3192B",2021-10-01,15434.57
"AC3193B",2021-10-01,31600.65
"ACCS009",2021-10-01,1.61
"AR00067",2021-10-01,423.03
"AR00068",2021-10-01,96.33
"AR00069",2021-10-01,59.16
"ART0082",2021-10-01,48.5
