"year_month_full","code_product","Ranking","Ranking_inv"
2021-11-01,"BOXSER",44,17
2021-11-01,"BOXSIL",45,16
2021-11-01,"BOXV",47,14
2021-11-01,"BOXVIT",53,8
2021-11-01,"BOXVP",27,34
2021-11-01,"BT4001G",35,26
2021-11-01,"CA1147",20,41
2021-11-01,"CA1148V",10,51
2021-11-01,"CA1159A",2,59
2021-11-01,"CA1160A",6,55
2021-11-01,"CA1161V",16,45
2021-11-01,"CA1162V",21,40
2021-11-01,"CA1163B",19,42
2021-11-01,"CA1165A",7,54
2021-11-01,"CA1166V",14,47
2021-11-01,"CA1167V",12,49
2021-11-01,"CA1201A",8,53
2021-11-01,"CA1202A",5,56
2021-11-01,"CA1301A",4,57
2021-11-01,"CA1302A",1,60
2021-11-01,"CA1303A",3,58
2021-11-01,"CERCHOC",11,50
2021-11-01,"CERFRUI",18,43
2021-11-01,"CERNATU",25,36
2021-11-01,"GLPSO",55,6
2021-11-01,"GOOM002",58,3
2021-11-01,"GOOM003",56,5
2021-11-01,"GOOM005",49,12
2021-11-01,"NEW1",57,4
2021-11-01,"PP2216",39,22
2021-11-01,"PP2217B",24,37
2021-11-01,"PP2218B",30,31
2021-11-01,"PP2224B",31,30
2021-11-01,"PP2272B",23,38
2021-12-01,"AC1160T",27,34
2021-12-01,"AC1161T",33,28
2021-12-01,"AC1163T",17,44
2021-12-01,"AC1201B",24,37
2021-12-01,"AC1202B",31,30
2021-12-01,"AC1203B",35,26
2021-12-01,"AC1204B",38,23
2021-12-01,"AC3104B",16,45
2021-12-01,"AC3105B",29,32
2021-12-01,"AC3106B",39,22
2021-12-01,"AC3107B",37,24
2021-12-01,"AC3191B",45,16
2021-12-01,"AC3192B",14,47
2021-12-01,"AC3193B",9,52
2021-12-01,"AR00067",44,17
2021-12-01,"AR00068",51,10
2021-12-01,"AR00069",50,11
2021-12-01,"ART0082",52,9
2021-12-01,"BOXDIG",48,13
2021-12-01,"BOXDT",41,20
2021-12-01,"BOXFP",19,42
2021-12-01,"BOXFS",28,33
2021-12-01,"BOXH",40,21
2021-12-01,"BOXHAR",56,5
2021-12-01,"BOXSER",47,14
2021-12-01,"BOXSIL",46,15
2021-12-01,"BOXV",42,19
2021-12-01,"BOXVP",32,29
2021-12-01,"BT4001G",36,25
2021-12-01,"CA1147",21,40
2021-12-01,"CA1148V",12,49
2021-12-01,"CA1159A",2,59
2021-12-01,"CA1160A",6,55
2021-12-01,"CA1161V",11,50
2021-12-01,"CA1162V",26,35
2021-12-01,"CA1163B",20,41
2021-12-01,"CA1165A",7,54
2021-12-01,"CA1166V",15,46
2021-12-01,"CA1167V",13,48
2021-12-01,"CA1201A",8,53
2021-12-01,"CA1202A",4,57
2021-12-01,"CA1301A",5,56
2021-12-01,"CA1302A",1,60
2021-12-01,"CA1303A",3,58
2021-12-01,"CERCHOC",10,51
2021-12-01,"CERFRUI",18,43
2021-12-01,"CERNATU",25,36
2021-12-01,"FT5",55,6
2021-12-01,"GLPSO",54,7
2021-12-01,"GOOM003",53,8
2021-12-01,"GOOM004",58,3
2021-12-01,"GOOM005",57,4
2021-12-01,"NEW1",49,12
2021-12-01,"PP2216",43,18
2021-12-01,"PP2217B",22,39
2021-12-01,"PP2218B",30,31
2021-12-01,"PP2224B",34,27
2021-12-01,"PP2272B",23,38
