"code_product","year_month_full","amount"
"BT4001G",2018-04-01,62.52
"CA1147",2018-04-01,35.66
"CA1148V",2018-04-01,479.91
"CA1159A",2018-04-01,3671.18
"CA1160A",2018-04-01,1118.26
"CA1161V",2018-04-01,12.04
"CA1162V",2018-04-01,80.65
"CA1163B",2018-04-01,105.69
"CA1165A",2018-04-01,1067.33
"CA1166V",2018-04-01,71.63
"CA1167V",2018-04-01,213.93
"CA1201A",2018-04-01,564.12
"CA1202A",2018-04-01,2151.4
"CA1301A",2018-04-01,2064.29
"CA1302A",2018-04-01,4711.22
"CA1303A",2018-04-01,2748.02
"GOOM002",2018-04-01,0
"PP2217B",2018-04-01,40.86
"PP2218B",2018-04-01,26.97
"PP2224B",2018-04-01,32.67
"PP2272B",2018-04-01,44.43
"AC1160T",2018-05-01,134.84
"AC1161T",2018-05-01,26.08
"AC1163T",2018-05-01,58.69
"AC1201B",2018-05-01,84.37
"AC1202B",2018-05-01,15.27
"AC1203B",2018-05-01,12.04
"AC1204B",2018-05-01,18.61
"AC3104B",2018-05-01,268.1
"AC3105B",2018-05-01,611.44
"AC3106B",2018-05-01,205.04
"AC3107B",2018-05-01,128.48
"AC3192B",2018-05-01,204.42
"AC3193B",2018-05-01,640.25
"ACCS009",2018-05-01,0
"AR00067",2018-05-01,3.95
"AR00068",2018-05-01,4.06
"AR00069",2018-05-01,2.08
"ART0082",2018-05-01,0
"BT4001G",2018-05-01,84.11
"CA1147",2018-05-01,95.84
"CA1148V",2018-05-01,517.95
"CA1159A",2018-05-01,4129.57
"CA1160A",2018-05-01,1245.63
"CA1161V",2018-05-01,76.77
"CA1162V",2018-05-01,28.9
"CA1163B",2018-05-01,140.44
"CA1165A",2018-05-01,1234.06
"CA1166V",2018-05-01,0
"CA1167V",2018-05-01,98.11
"CA1201A",2018-05-01,697.75
"CA1202A",2018-05-01,2014.76
"CA1301A",2018-05-01,1359.54
"CA1302A",2018-05-01,6337.52
"CA1303A",2018-05-01,3139.09
"GOOM002",2018-05-01,0
"PP2217B",2018-05-01,36.18
"PP2218B",2018-05-01,5.99
"PP2224B",2018-05-01,28.75
"PP2272B",2018-05-01,18.05
"AC1160T",2018-06-01,26.96
"AC1161T",2018-06-01,44.94
"AC1163T",2018-06-01,104.5
"AC1201B",2018-06-01,93.85
"AC1202B",2018-06-01,16.98
"AC1204B",2018-06-01,32.35
"AC3104B",2018-06-01,204.26
"AC3105B",2018-06-01,698.2
"AC3106B",2018-06-01,163.61
"AC3107B",2018-06-01,200.13
"AC3192B",2018-06-01,333.61
"AC3193B",2018-06-01,619.99
"ACCS009",2018-06-01,0
"AR00067",2018-06-01,2.08
"AR00069",2018-06-01,4.16
"BOXV",2018-06-01,71.66
"BT4001G",2018-06-01,21.68
"CA1147",2018-06-01,36.38
"CA1148V",2018-06-01,555.75
"CA1159A",2018-06-01,4480.05
"CA1160A",2018-06-01,1504.9
"CA1161V",2018-06-01,45.48
"CA1162V",2018-06-01,12.04
"CA1163B",2018-06-01,110.42
"CA1165A",2018-06-01,906.59
"CA1167V",2018-06-01,233.52
"CA1201A",2018-06-01,538.36
"CA1202A",2018-06-01,2497.74
"CA1301A",2018-06-01,1734.55
